Name,Type,Description,SP
B Duel Cavalry 2,A,"Grants HP+4. If unit is 5★ and level 40 and unit's stats total less than 165, treats unit's stats as 165 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",150
B Duel Cavalry 3,A,"Grants HP+5. If unit is 5★ and level 40 and unit's stats total less than 170, treats unit's stats as 170 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
B Duel Cavalry 4,A,"Grants HP+5, Atk/Spd/Def/Res+2. If unit is 5★, level 40, a Legendary Hero or a Mythic Hero, and unit's stats total less than 175, treats unit's stats as 175 in modes like Arena. If unit is 5★, level 40, not a Legendary Hero or Mythic Hero and unit's stats total less than 180, treats unit's stats as 180 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
S/D Near Trace 1,B,"Enables【Canto (Rem. +1)】.Inflicts Spd/Def-1 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60
S/D Near Trace 2,B,"Enables【Canto (Rem. +1)】.Inflicts Spd/Def-2 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120
S/D Near Trace 3,B,"Enables【Canto (Rem. +1)】.Inflicts Spd/Def-3 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240
Hone Spd 1,C,"At start of turn, grants Spd+2 to adjacent allies for 1 turn.",50
Hone Spd 2,C,"At start of turn, grants Spd+3 to adjacent allies for 1 turn.",100
Hone Spd 3,C,"At start of turn, grants Spd+4 to adjacent allies for 1 turn.",200
Joint Hone Spd,C,"At start of turn, if unit is adjacent to an ally, grants Spd+5 to unit and adjacent allies for 1 turn.",300
Atk/Res Ideal 4,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Res+7 to unit during combat. At start of combat, if unit's HP = 100% and【Bonus】is active on unit, grants an additional Atk/Res+2 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Lull Spd/Res 1,B,"Inflicts Spd/Res-1 on foe and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat.",60
Lull Spd/Res 2,B,"Inflicts Spd/Res-2 on foe and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat.",120
Lull Spd/Res 3,B,"Inflicts Spd/Res-3 on foe and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat.",240
Lull Spd/Res 4,B,"Inflicts Spd/Res-X on foe (X = 4 + number of【Bonus】effects active on foe; max 8; excludes stat bonuses) and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Order's Restraint,C,"At start of turn, grants Atk/Res+6 and【Null Panic】 to allies within 2 spaces for 1 turn. At start of turn, if 3 or more allies are within 2 spaces of unit, grants Atk/Res+6 and 【Null Panic】to unit for 1 turn.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",300
Order's Restraint+,C,"At start of turn, grants Atk/Res+6, 【Null Panic】,【Null Follow-Up】, and【Hexblade】to allies within 3 spaces of unit for 1 turn, and also, if the number of allies within 3 spaces of unit ≥ 3, grants Atk/Res+6, 【Null Panic】,【Null Follow-Up】, and ""reduces the percentage of foe's non-Special 'reduce damage by X%' skills by 50% during combat (excluding area-of-effect Specials)"" to unit for 1 turn.If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit during combat.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Hexblade】Calculates damage using the lower of foe's Def or Res during combat for 1 turn (including damage dealt by Specials before combat).",300
Distant Def 1,A,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+2 during combat.",60
Distant Def 2,A,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+4 during combat.",120
Distant Def 3,A,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.",240
Even Atk Wave 1,C,"At start of even-numbered turns, grants Atk+2 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",60
Even Atk Wave 2,C,"At start of even-numbered turns, grants Atk+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",120
Even Atk Wave 3,C,"At start of even-numbered turns, grants Atk+6 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",240
Atk/Def Ideal 1,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60
Atk/Def Ideal 2,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120
Atk/Def Ideal 3,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240
Atk/Def Ideal 4,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+7 to unit during combat. At start of combat, if unit's HP = 100% and【Bonus】is active on unit, grants an additional Atk/Def+2 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Opened Domain,C,"At start of turn, if unit is within 2 spaces of any allies from a different title than unit, grants 【Resonance: Blades】and【Resonance: Shields】to unit and all allies within 2 spaces of unit, and also, if unit or any of those allies has their Special cooldown count at its maximum value, grants Special cooldown count-1 to them.【Resonance: Blades】Grants Atk/Spd+4 during combat for 1 turn.【Resonance: Shields】Grants Def/Res+4 during combat and the following effect for 1 turn: ""During unit's first combat in player phase or enemy phase, foe cannot make a follow-up attack.""",300
D Bonus Doubler,A,Unit can counterattack regardless of foe's range. Grants Atk/Spd/Def/Res+X to unit during combat (X = highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).,300
Connected World,C,"If unit can transform, transformation effects gain ""if unit is within 2 spaces of any allies from a different title than unit"" as a trigger condition (in addition to existing conditions).If defending in Aether Raids, at the start of enemy turn 1, if conditions for transforming are met, unit transforms.At start of turn, and at start of enemy phase (except for in Summoner Duels), if unit is within 3 spaces of any allies from a different title than unit, grants Atk/Def+6,【Resonance: Blades】, 【Resonance: Shields】, and ""reduces the percentage of foe's non-Special 'reduce damage by X%' skills by 50% during combat (excluding area-of-effect Specials)"" to unit and allies within 3 spaces of unit for 1 turn, and also, for unit and allies within 3 spaces of unit, if Special cooldown count is at its maximum value, grants Special cooldown count-1.If unit is within 3 spaces of an ally, grants Atk/Def/Res+5 to unit and reduces damage from foe's attacks by 40% during combat (excluding area-of-effect Specials), and also, if unit's Special cooldown count is at its maximum value after combat, grants Special cooldown count-1 to unit after combat.For allies within 3 spaces of unit, if Special cooldown count is at its maximum value after combat, grants Special cooldown count-1.【Resonance: Blades】Grants Atk/Spd+4 during combat for 1 turn.【Resonance: Shields】Grants Def/Res+4 during combat and the following effect for 1 turn: ""During unit's first combat in player phase or enemy phase, foe cannot make a follow-up attack.""",300
Def/Res Finish 1,A,"If unit is within 3 spaces of an ally, grants Def/Res+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60
Def/Res Finish 2,A,"If unit is within 3 spaces of an ally, grants Def/Res+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120
Def/Res Finish 3,A,"If unit is within 3 spaces of an ally, grants Def/Res+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240
Def/Res Finish 4,A,"If unit is within 3 spaces of an ally, grants Def/Res+7 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat (except when dealing damage with area-of-effect Specials), and when unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)",300
Wind Boost 1,A,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+2 during combat.",50
Wind Boost 2,A,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+4 during combat.",100
Wind Boost 3,A,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+6 during combat.",200
Wrath 1,B,"At start of turn, if unit's HP ≤ 25% and unit's attack can trigger their Special, grants Special cooldown count-1, and deals +10 damage when Special triggers.",60
Wrath 2,B,"At start of turn, if unit's HP ≤ 50% and unit's attack can trigger their Special, grants Special cooldown count-1, and deals +10 damage when Special triggers.",120
Wrath 3,B,"At start of turn, if unit's HP ≤ 75% and unit's attack can trigger their Special, grants Special cooldown count-1, and deals +10 damage when Special triggers.",240
Spd/Def Bond 1,A,"If unit is adjacent to an ally, grants Spd/Def+3 during combat.",60
Spd/Def Bond 2,A,"If unit is adjacent to an ally, grants Spd/Def+4 during combat.",120
Spd/Def Bond 3,A,"If unit is adjacent to an ally, grants Spd/Def+5 during combat.",240
Spd/Def Bond 4,A,"If unit is adjacent to an ally, grants Spd/Def+7 to unit and neutralizes unit's penalties to Spd/Def during combat.",300
Atk/Def Ruse 1,B,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-1 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",60
Atk/Def Ruse 2,B,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-3 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",120
Atk/Def Ruse 3,B,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-5 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",240
Armored Blow 1,A,"If unit initiates combat, grants Def+2 during combat.",50
Sword Exp. 1,C,"While unit lives and uses a sword, unit gets 1.5x EXP.(Only highest value applied. Does not stack.)",30
Sword Exp. 2,C,"While unit lives, all sword allies on team get 1.5x EXP.(Only highest value applied. Does not stack.)",60
Sword Exp. 3,C,"While unit lives, all sword allies on team get 2x EXP.(Only highest value applied. Does not stack.)",120
Beyond Reason,A,"Grants Atk/Def/Res+10.If foe initiates combat or foe's HP ≥ 75% at start of combat, grants bonus to unit's Atk/Def/Res = A + B (A = 2 × number of 【Penalty】effects active on foe and foes within 3 rows or 3 columns centered on that foe, excluding stat penalties; max 12; B = 2 × current penalty on unit's respective stats; calculates each stat penalty independently), neutralizes foe's bonuses to Atk/Res, and reduces damage from foe's first attack by X% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes; if foe can make a follow-up attack, X = 80; otherwise, X = 40), and restores 7 HP to unit after combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300
Sabotage Res 1,B,"At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Res-3 on that foe through its next action.",60
Sabotage Res 2,B,"At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Res-5 on that foe through its next action.",120
Sabotage Res 3,B,"At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Res-7 on that foe through its next action.",240
Atk/Res Discord,B,"At start of player phase or enemy phase, inflicts Atk/Res-6 and【Discord】on foes with Res < unit's Res and that are within 2 spaces of another foe through their next actions.Inflicts penalty on foe's Atk/Res during combat = number of foes inflicted with【Discord】 within 2 spaces of target, including target, × 2, + 4 (max 10) and deals damage = 15% of unit's Res (excluding area-of-effect Specials).【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300
Pulse Up: Ploy,C,"At start of turn, grants Special cooldown count-1.At start of player phase or enemy phase, if any foes within 3 rows or 3 columns centered on unit have Res < unit's Res+5, inflicts【Ploy】 and【Exposure】on those foes through their next actions.【Ploy】Neutralizes【Bonus Doubler】,【Treachery】, and【Grand Strategy】effects active on unit during combat through unit's next action.【Exposure】Foe's attacks deal +10 damage.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Treachery】Unit deals additional damage = total bonuses on unit for 1 turn.【Grand Strategy】Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 for 1 turn. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.Unit's negative effects that last ""through unit's next action"" will remain in effect until this status (Grand Strategy) is neutralized.",300
Threat. Atk/Def 1,C,"At start of turn, inflicts Atk/Def-3 on foes within 2 spaces through their next actions.",100
Threat. Atk/Def 2,C,"At start of turn, inflicts Atk/Def-4 on foes within 2 spaces through their next actions.",200
Def/Res Bond 1,A,"If unit is adjacent to an ally, grants Def/Res+3 during combat.",60
Def/Res Bond 2,A,"If unit is adjacent to an ally, grants Def/Res+4 during combat.",120
Def/Res Bond 3,A,"If unit is adjacent to an ally, grants Def/Res+5 during combat.",240
Def/Res Bond 4,A,"If unit is adjacent to an ally, grants Def/Res+7 to unit and neutralizes unit's penalties to Def/Res during combat.",300
Even Recovery 1,C,"At start of even-numbered turns, restores 5 HP to allies within 2 spaces of unit and neutralizes any【Penalty】on those allies (excluding penalties inflicted at start of turn).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60
Even Recovery 2,C,"At start of even-numbered turns, restores 10 HP to allies within 2 spaces of unit and neutralizes any【Penalty】on those allies (excluding penalties inflicted at start of turn).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120
Even Recovery 3,C,"At start of even-numbered turns, restores 20 HP to allies within 2 spaces of unit and neutralizes any【Penalty】on those allies (excluding penalties inflicted at start of turn).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240
Speed +1,A,Grants Spd+1.,30
HP/Spd 1,A,"Grants HP+3, Spd+1.",100
HP/Spd 2,A,"Grants HP+4, Spd+2.",200
Odd Res Wave 1,C,"At start of odd-numbered turns, grants Res+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60
Odd Res Wave 2,C,"At start of odd-numbered turns, grants Res+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120
Odd Res Wave 3,C,"At start of odd-numbered turns, grants Res+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240
Desperation 1,B,"If unit’s HP ≤ 25% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",50
Desperation 2,B,"If unit’s HP ≤ 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",100
Desperation 3,B,"If unit’s HP ≤ 75% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",200
Atk/Spd Clash 1,A,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 1. (X = number of spaces from start position to end position of whoever initiated combat; max 1.)",60
Atk/Spd Clash 2,A,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 3. (X = number of spaces from start position to end position of whoever initiated combat; max 2.)",120
Atk/Spd Clash 3,A,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 5. (X = number of spaces from start position to end position of whoever initiated combat; max 3.)",240
Atk/Spd Excel,A,"If unit or foe initiates combat after moving to a different space, grants Atk/Spd+6 and Atk/Spd+X to unit during combat (X = number of spaces from start position to end position of whoever initiated combat; max 4), and also, if unit initiates combat, reduces damage from foe's attacks by X × 3 during combat (excluding area-of-effect Specials). If foe's attack triggers foe's Special, reduces damage dealt to unit by X × 3 during combat (excluding area-of-effect Specials).",300
Odd Tempest 1,C,"At start of odd-numbered turns, if unit's HP = 100%, unit can move 1 extra space. (That turn only. Does not stack.)",60
Odd Tempest 2,C,"At start of odd-numbered turns, if unit's HP ≥ 50%, unit can move 1 extra space. (That turn only. Does not stack.)",120
Odd Tempest 3,C,"At start of odd-numbered turns, unit can move 1 extra space. (That turn only. Does not stack.)",240
Brutal Tempest,C,"Enables【Canto (Dist. +1; Max ４)】.At start of turn, unit can move 1 extra space (that turn only; does not stack).Grants bonus to unit's Atk/Spd/Def/Res during combat = number of spaces from start position to end position of whoever initiated combat (max 3).【Canto (Dist. +1; Max ４)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position of unit before the above, +1. (Max ４.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300
Atk/Spd Clash 4,A,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 6. (X = number of spaces from start position to end position of whoever initiated combat; max 4.) If X ≥ 2, neutralizes unit's penalties to Atk/Spd during combat.",300
Flow Desperation,B,"Inflicts Spd/Def-4 on foe during combat. If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat, and also, if number of spaces from unit's start position to end position ≥ 2 or unit's HP ≤ 75% at start of combat, unit can make a follow-up attack before foe can counterattack.",300
Red Feud 1,C,"If in combat against a red foe, disables skills of all foes, excluding foe in combat. During combat, disables skills of all red foes, excluding foe in combat.",60
Red Feud 2,C,"If in combat against a red foe, disables skills of all foes, excluding foe in combat, and inflicts Atk/Spd/Def/Res-2 on foe during combat. During combat, disables skills of all red foes, excluding foe in combat.",120
Red Feud 3,C,"If in combat against a red foe, disables skills of all foes, excluding foe in combat, and inflicts Atk/Spd/Def/Res-4 on foe during combat. During combat, disables skills of all red foes, excluding foe in combat.",240
Threaten Atk 2,C,"At start of turn, inflicts Atk-4 on foes within 2 spaces through their next actions.",100
Threaten Atk 3,C,"At start of turn, inflicts Atk-5 on foes within 2 spaces through their next actions.",200
R Duel Infantry 1,A,"Grants HP+3. If unit is 5★ and level 40 and unit's stats total less than 160, treats unit's stats as 160 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",70
R Duel Infantry 2,A,"Grants HP+4. If unit is 5★ and level 40 and unit's stats total less than 165, treats unit's stats as 165 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",150
R Duel Infantry 3,A,"Grants HP+5. If unit is 5★ and level 40 and unit's stats total less than 170, treats unit's stats as 170 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
R Duel Infantry 4,A,"Grants HP+5, Atk/Spd/Def/Res+2. If unit is 5★, level 40, a Legendary Hero or a Mythic Hero, and unit's stats total less than 175, treats unit's stats as 175 in modes like Arena. If unit is 5★, level 40, not a Legendary Hero or Mythic Hero and unit's stats total less than 180, treats unit's stats as 180 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
Spd/Res Ruse 1,B,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Res-1 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",60
Spd/Res Ruse 2,B,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Res-3 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",120
Spd/Res Ruse 3,B,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Res-5 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",240
Earth Dance 1,B,"If Sing or Dance is used, grants Def+3 to target.",50
Earth Dance 2,B,"If Sing or Dance is used, grants Def+4 to target.",100
Earth Dance 3,B,"If Sing or Dance is used, grants Def+5 to target.",200
Hone Fliers,C,"At start of turn, grants Atk/Spd+6 to adjacent flying allies for 1 turn.",200
S/R Far Trace 1,B,"Enables【Canto (Rem.)】.Inflicts Spd/Res-1 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60
S/R Far Trace 2,B,"Enables【Canto (Rem.)】.Inflicts Spd/Res-2 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120
S/R Far Trace 3,B,"Enables【Canto (Rem.)】.Inflicts Spd/Res-3 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240
Cross Spur Res,C,Grants Res+5 to allies in cardinal directions of unit during combat.,300
Triangle Adept 1,A,"If unit has weapon-triangle advantage, boosts Atk by 10%. If unit has weapon-triangle disadvantage, reduces Atk by 10%.",50
Triangle Adept 2,A,"If unit has weapon-triangle advantage, boosts Atk by 15%. If unit has weapon-triangle disadvantage, reduces Atk by 15%.",100
Triangle Adept 3,A,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",200
Drive Res 1,C,Grants Res+2 to allies within 2 spaces during combat.,120
Drive Res 2,C,Grants Res+3 to allies within 2 spaces during combat.,240
Speed +2,A,Grants Spd+2.,60
Speed +3,A,Grants Spd+3.,120
Fortify Res 1,C,"At start of turn, grants Res+2 to adjacent allies for 1 turn.",50
Fortify Res 2,C,"At start of turn, grants Res+3 to adjacent allies for 1 turn.",100
Fortify Res 3,C,"At start of turn, grants Res+4 to adjacent allies for 1 turn.",200
Firestorm Boost 3,A,"Grants HP+5. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd+7 to unit during combat, and also, if unit is within 2 spaces of an ally with HP ≥ 50%, inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).",300
Def Cantrip 1,B,"If Sing or Dance is used, inflicts Def-3 on nearest foes within 4 spaces of unit through their next actions.",60
Def Cantrip 2,B,"If Sing or Dance is used, inflicts Def-5 on nearest foes within 4 spaces of unit through their next actions.",120
Def Cantrip 3,B,"If Sing or Dance is used, inflicts Def-7 on nearest foes within 4 spaces of unit through their next actions.",240
A/D Cantrip 3,B,"If Sing or Dance is used, inflicts Atk/Def-7 and【Sabotage】on foes in cardinal directions of unit and target through their next actions.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",300
Mercy-Wing Echo,X,"If an ally's HP ≤ 50%, unit can move to a space adjacent to that ally.",—
B Duel Flying 1,A,"Grants HP+3. If unit is 5★ and level 40 and unit's stats total less than 160, treats unit's stats as 160 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",70
B Duel Flying 2,A,"Grants HP+4. If unit is 5★ and level 40 and unit's stats total less than 165, treats unit's stats as 165 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",150
B Duel Flying 3,A,"Grants HP+5. If unit is 5★ and level 40 and unit's stats total less than 170, treats unit's stats as 170 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
Atk/Spd Push 1,A,"At start of combat, if unit's HP = 100%, grants Atk/Spd+3, but if unit attacked, deals 1 damage to unit after combat.",60
Atk/Spd Push 2,A,"At start of combat, if unit's HP = 100%, grants Atk/Spd+4, but if unit attacked, deals 1 damage to unit after combat.",120
Atk/Spd Push 3,A,"At start of combat, if unit's HP = 100%, grants Atk/Spd+5, but if unit attacked, deals 1 damage to unit after combat.",240
Atk/Spd Push 4,A,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+7, but after combat, if unit attacked, deals 5 damage to unit.",300
Aerobatics 1,B,"If unit's HP = 100%, unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",60
Aerobatics 2,B,"If unit's HP ≥ 50%, unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",120
