Name,Might,Range,Description,SP
Firesweep Bow+,11,2,Effective against flying foes. Unit and foe cannot counterattack.,300
Bow of Devotion,14,2,"Effective against flying foes. If foe initiates combat and uses bow, dagger, magic, or staff, grants Atk/Spd/Def/Res+4 to unit during combat.",400
Bow of Frelia,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat, and also, if Special triggers (excluding area-of-effect Specials), deals +7 damage and neutralizes ""reduces damage by X%"" effects from non-Special skills.",400
Bow of Verdane,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+5 to unit during combat.",400
Whelp (Cavalry),4,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",50
Yearling (Cavalry),6,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",100
Adult (Cavalry),9,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",200
Brazen Cat Fang,14,1,"Grants Spd+3. If unit is not adjacent to an ally, grants Atk/Spd+6 during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Breath of Blight,16,1,"Neutralizes ""effective against dragons"" bonuses. At the start of turn 4, deals 10 damage to foes within 3 spaces, and restores HP to unit = number of foes within 3 spaces × 5. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Flametongue+,15,1,—,300
Breath of Fog,16,1,"Effective against dragon foes. At start of odd-numbered turns, restores 10 HP. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Lightning Breath,7,1,Slows Special trigger (cooldown count+1).Unit can counterattack regardless of foe's range.,200
Lightning Breath+,11,1,Slows Special trigger (cooldown count+1).Unit can counterattack regardless of foe's range.,300
Bride's Fang,14,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if foe's HP ≥ 75%, inflicts Atk/Spd/Def-5 on foe during combat, and if Special triggers before or during combat and unit attacked, grants Special cooldown count-1 after combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400
Bright Naginata,16,1,"If foe initiates combat, grants Atk/Def+4 during combat.",400
Rapier,16,1,"Effective against armored and cavalry foes. Grants Spd+3. If unit’s HP ≤ 75% and foe initiates combat, unit can counterattack before foe's first attack.",400
Brilliant Rapier,16,1,"Effective against armored and cavalry foes. Grants Spd+3. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat. If unit's HP ≤ 80% and foe initiates combat, unit can counterattack before foe's first attack.",400
Brutal Breath,16,1,"Grants Spd+3. Grants Atk/Spd/Def/Res+X during combat. (Calculates X based on number of allies within 2 spaces of unit: 0 allies grants +5; 1 grants +3; 2 grants +1; ≥3 allies grants +0.) If the number of allies within 2 spaces is ≤ 1, inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Brynhildr,14,2,"If unit initiates combat, inflicts status on foe restricting movement to 1 space through its next action.",400
Bull Spear,16,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",400
Bun-Bun Baton,16,1,Accelerates Special trigger (cooldown count-1). Effective against armored foes. Neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.,400
Bunny Fang,14,1,"Grants Spd+3. Effective against cavalry foes. After combat, if unit's HP ≤ 75%, grants Special cooldown count-2.Effect:【Beast (Cavalry)】【Beast (Cavalry)】At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Býleistr,16,1,"At start of odd-numbered turns, grants Atk/Spd/Def/Res+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",400
Caduceus Staff,14,2,Calculates damage from staff like other weapons. Reduces damage from foes' attacks during combat to allies within 2 spaces by 30%.,400
Candied Dagger,14,2,"If unit initiates combat, grants Spd+4 and deals damage = 10% of unit's Spd during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Chaos Manifest,14,2,"Grants Res+3. If a penalty inflicted by a skill like Panic or Threaten and/or a negative status effect (preventing counterattacks or restricting movement) is active on foe, grants Atk+6 during combat and unit makes a guaranteed follow-up attack.",400
Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.",400
Charging Horn,14,2,"Grants Def+3. Grants Atk/Spd+5 to allies within 3 rows or 3 columns centered on unit during combat. The following effects will occur based on the number of allies within 3 rows or 3 columns centered on unit: If ≥ 1 ally, inflicts Atk/Res-X on foe during combat (X = number of allies in the area × 2; max -6). If ≥ 3 allies, foe cannot make a follow-up attack. (If unit is within 2 spaces of a structure that a foe can destroy, the number of allies in the area is treated as 3.)",400
Reprisal Lance,10,1,"If foe initiates combat, grants Atk+6 during combat.",200
Reprisal Lance+,14,1,"If foe initiates combat, grants Atk+6 during combat.",300
Command Lance,16,1,"If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit during combat and reduces damage from foe's first attack by 40%.",400
Conjurer Curios,16,1,"Effective against armored foes. Grants Atk+3. If it is an odd-numbered turn or if foe's HP < 100% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat.",400
Constant Dagger,14,2,"Grants Spd+3. If unit initiates combat, grants Atk/Spd+5 during combat. If unit initiates combat and is within 2 spaces of support partner, foe cannot counterattack and unit and support partner swap spaces after combat. (If unit is within 2 spaces of more than one support partner, swap does not occur.)Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Smoke Dagger,6,2,"After combat, if unit attacked, inflicts Def/Res-4 on foes within 2 spaces of target through their next actions.",200
Smoke Dagger+,9,2,"After combat, if unit attacked, inflicts Def/Res-6 on foes within 2 spaces of target through their next actions.",300
Convoy Dagger,14,2,"Grants HP+5. Unit can move to a space adjacent to an ally.If unit is within 3 spaces of an ally, inflicts Atk/Spd-6 on foe during combat and foe cannot make a follow-up attack.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Rauðrraven,7,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",200
Rauðrraven+,11,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",300
Corvus Tome,14,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",400
Covert Cat Fang,14,1,"Grants Def+3. If unit is within 2 spaces of an ally, grants Atk/Def+3 to unit and allies within 2 spaces of unit during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Blárfox,8,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.",200
Blárfox+,12,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.",300
Craver's Tome,14,2,"If unit's HP ≥ 25% at start of combat, grants Atk/Spd/Def/Res+5 to unit and unit makes a guaranteed follow-up attack during combat, and also, if unit is within 2 spaces of an ally and unit's Res > foe's Res, reduces damage from foe's attacks by difference between stats during combat (max 20; excluding area-of-effect Specials).If unit's HP ≥ 25% at start of combat, restores 7 HP to unit after combat.",400
Crimson Axe,16,1,Accelerates Special trigger (cooldown count-1).,400
Instant Lance,10,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",200
Instant Lance+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",300
Crimson Lance,16,1,"If unit's HP ≥ 25% at start of combat, grants Atk/Spd/Def/Res+5 to unit, reduces damage from foe's first attack by 20% of unit's Def (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and foe cannot make a follow-up attack during combat, and also, if unit's Def > foe's Def, increases the Spd difference necessary for foe to make a follow-up attack by difference between stats × 2 during combat (for example, if Spd difference necessary increases by 10, Spd must be ≥ 15 more than foe's Spd to make a follow-up attack; stacks with similar skills).If unit's HP ≥ 25% at start of combat, restores 7 HP to unit after combat.",400
Cursed Lance,16,1,Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+2. Deals 4 damage to unit after combat.,400
Cymbeline,14,2,"If unit initiates combat, grants Atk+4 to adjacent allies for 1 turn after combat.",400
Daniel-Made Bow,14,2,Accelerates Special trigger (cooldown count-1). Effective against flying foes. Grants Atk+5 to allies within 2 spaces during combat. Inflicts Atk-5 on foes within 2 spaces during combat.,400
Dark Aura,14,2,"At start of turn, if adjacent allies use sword, axe, lance, dragonstone, or beast damage, grants Atk+6 to those allies for 1 turn.",400
Dark Creator S,16,1,"Grants Def+3. During combat, boosts unit's Atk/Def by number of allies with HP ≥ 90% × 2 (max 6). During unit's first combat in player phase or enemy phase, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = number of allies with HP ≥ 90% × 15 (max 45%).",400
Dark Excalibur,14,2,Deals +10 damage when Special triggers.,400
Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",400
Rauðrfox,8,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.",200
Rauðrfox+,12,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.",300
Dark Monograph,14,2,"If foe initiates combat or foe's HP ≥ 75% at start of combat, inflicts Atk/Spd/Res-5 on foe, deals damage = 20% of unit's Res (excluding area-of-effect Specials), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and restores 7 HP to unit after combat.",400
Dark Scripture,14,2,"Grants Atk+3. If unit is not adjacent to an ally, inflicts Atk/Res-6 on foe during combat, and if foe does not have ""effective against dragons,"" unit makes a guaranteed follow-up attack.",400
Dark Spikes Τ,14,2,"Effective against cavalry foes. Grants Spd+3. At the start of combat, if foe's HP ≥ 75%, grants Atk/Spd+6 during combat. If unit's HP < 100% and unit initiates combat, unit makes a guaranteed follow-up attack before foe can counterattack.",400
Slaying Lance,10,1,Accelerates Special trigger (cooldown count-1).,200
Slaying Lance+,14,1,Accelerates Special trigger (cooldown count-1).,300
Dauntless Lance,16,1,Accelerates Special trigger (cooldown count-1). Effective against armored foes.,400
Daybreak Lance,16,1,Accelerates Special trigger (cooldown count-1).,400
Dazzling Breath,16,1,"Grants Atk+3. If foe initiates combat or if foe's HP ≥ 75% at start of combat, inflicts Atk/Spd/Def/Res-5 on foe during combat and foe cannot make a follow-up attack, and also, if unit is within 2 spaces of an ally, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Death,14,2,"Grants Res+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit.",400
Deathly Dagger,11,2,"After combat, if unit attacked, inflicts Def/Res-7 on foe through its next action.If unit initiates combat, deals 7 damage to foe after combat.",400
Deep-Blue Bow,14,2,"Grants Spd+3. Effective against flying and armored foes. If foe's HP = 100% and unit initiates combat, grants Atk/Spd/Def/Res+4 during combat.",400
Demonic Breath,16,1,"Grants Def+3. Effective against armored foes. At start of combat, if a negative status effect is active on unit, or if unit's HP < 100%, neutralizes penalties on unit and grants Atk/Spd/Def/Res+4 during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Firesweep Axe,11,1,Unit and foe cannot counterattack.,200
Firesweep Axe+,15,1,Unit and foe cannot counterattack.,300
Desert-Tiger Axe,16,1,"At the start of turn 1, grants Special cooldown count-1 to unit and allies with HP < unit's HP. At start of turn, grants Atk/Spd+6, ""neutralizes unit's penalties during combat,"" and【Null Panic】 to unit and allies with HP < unit’s HP for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit during combat.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",400
Silver Bow+,13,2,Effective against flying foes.,300
Dignified Bow,14,2,"Effective against flying foes. At start of turn, if any foe's HP ≤ unit's HP-1 and that foe is adjacent to another foe, inflicts【Panic】on that foe.【Panic】Converts bonuses on target into penalties through its next action.",400
Divine Breath,16,1,"Grants Atk+3. Effective against dragon foes. Grants Atk/Spd/Def/Res+X during combat. (X = number of dragon allies and allies that have ""effective against dragons"" within 2 spaces ×3. Maximum bonus of +9 to each stat.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Divine Mist,16,1,"Effective against dragon foes. Unit can counterattack regardless of foe's range. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Divine Naga,14,2,"Effective against dragon foes. Neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400
Divine Tyrfing,16,1,Grants Res+3. Reduces damage from magic foe's first attack by 50%.,400
Flash,7,2,"After combat, if unit attacked, inflicts status on foe preventing counterattacks through its next action.",200
Flash+,11,2,"After combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",300
Doting Staff,14,2,"Foe cannot counterattack. If unit initiates combat, grants Atk/Spd+4 to unit during combat. After combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",400
Double Bow,14,2,"Accelerates Special trigger (cooldown count-1).Effective against flying foes. If unit is not adjacent to an ally, grants Atk/Spd/Def/Res+5 during combat and unit can counterattack regardless of foe's range.",400
Draconic Poleax,16,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",400
Draconic Rage,16,1,"Accelerates Special trigger (cooldown count-1). If the number of allies within 2 spaces (excluding unit) > the number of foes within 2 spaces (excluding target), grants Atk/Spd+5 during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Dragonbind,16,1,Effective against dragon foes. Unit can counterattack regardless of foe's range.,400
Dragoon Axe,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP = 100%, grants Atk/Spd/Def/Res+4 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",400
Durandal,16,1,"If unit initiates combat, grants Atk+4 during combat.",400
Water Breath+,14,1,"If foe initiates combat, grants Def/Res+4 during combat.If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300
Dusk Dragonstone,16,1,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Eagle's Egg,14,2,"Grants Atk+3. If unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes unit's penalties during combat.",400
Cupid Arrow,8,2,"Effective against flying foes.If unit initiates combat, grants Def/Res+2 to allies within 2 spaces for 1 turn after combat.",200
Cupid Arrow+,12,2,"Effective against flying foes. If unit initiates combat, grants Def/Res+2 to allies within 2 spaces for 1 turn after combat.",300
Inseverable Spear,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 2 spaces of an ally, grants the following effects to unit and allies within 2 spaces of unit for 1 turn: ""unit can move to a space adjacent to an ally within 2 spaces"" and【Dual Strike】.  If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 and Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.)【Dual Strike】If unit initiates combat and is adjacent to an ally with Dual Strike (excluding unit), unit attacks twice. (That turn only. Does not stack.)",400
Revenger Lance,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit during combat, and also, if foe's HP ≥ 75% at start of combat, unit makes a guaranteed follow-up attack during combat.",400
Asclepius,14,2,"Grants Res+3. Calculates damage from staff like other weapons. At start of turn, if any foe's Res < unit's Res and that foe is adjacent to another foe, inflicts Atk/Res-6 and status preventing counterattacks on that foe through its next action. At start of combat, if unit's HP ≥ 25%, grants Atk/Res+6 to unit and deals damage = total penalties on foe during combat. (If the ""calculates damage from staff like other weapons"" effect is neutralized, damage from staff is calculated after combat damage is added.)",400
Starlight Stone,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk+6 to unit and inflicts Atk-6 on foe during combat, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), restores 7 HP to unit when unit deals damage to foe during combat (triggers even if 0 damage is dealt), and also, if foe can make a follow-up attack, reduces damage from foe's first attack during combat by 75%. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Hoshido's Breath,16,1,"Accelerates Special trigger (cooldown count-1). Unit can counterattack regardless of foe's range.At start of turn, if unit's HP ≥ 25% and unit's Special cooldown count is at its maximum value, grants Special cooldown count-1 to unit.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 spaces of unit × 3, + 5 (max 14), and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed foe's maximum Special cooldown). If unit's HP ≥ 25% at start of combat and if unit's Special cooldown count value is at its maximum after combat, grants Special cooldown count-1 to unit after combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Primordial Breath,16,1,"Accelerates Special trigger (cooldown count-1). If foe's Range = 2, calculates damage using the lower of foe's Def or Res. If foe initiates combat or if foe's HP = 100% at start of combat, grants Atk/Spd/Def/Res+5 to unit and grants unit Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",400
Ninja Naginata,6,1,"Inflicts Def/Res-4. If unit initiates combat, unit attacks twice, and also, if unit's Spd > foe's Spd, deals damage = 50% of difference between stats. (Maximum bonus of +4 damage.)",200
Ninja Naginata+,9,1,"Inflicts Def/Res-4. If unit initiates combat, unit attacks twice, and also, if unit's Spd > foe's Spd, deals damage = 50% of difference between stats. (Maximum bonus of +4 damage.)",300
Hama Ya,8,2,Effective against flying foes.Grants Def/Res+2 to allies within 2 spaces during combat.,200
Hama Ya+,12,2,Effective against flying foes.Grants Def/Res+2 to allies within 2 spaces during combat.,300
Yato,16,1,"If unit initiates combat, grants Spd+4 during combat.",400
Gloom Breath,16,1,"At start of turn, inflicts Atk/Spd-7 on foes within 2 spaces through their next actions. After combat, if unit attacked, inflicts Atk/Spd-7 on target and foes within 2 spaces of target through their next actions. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Ninjutsu Scrolls,9,2,"Grants Spd+4. Inflicts Def/Res-4. If unit initiates combat, unit attacks twice, and also, if unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage.)",400
Sealife Tome,8,2,Grants Atk/Spd+1 to allies within 2 spaces during combat.,200
Sealife Tome+,12,2,Grants Atk/Spd+1 to allies within 2 spaces during combat.,300
Vallastone,16,1,"Accelerates Special trigger (cooldown count-1). After unit acts (if Canto triggers, after Canto), applies【Divine Vein (Stone)】to unit's space and spaces within 2 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Spd/Def/Res-5 on foe, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces damage from attacks by 30% during combat (excluding area-of-effect Specials). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.【Divine Vein (Stone)】Applies the following effects on space for unit and allies: Grants Def/Res+6 during combat, reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials), and reduces damage from area-of-effect Specials by 50% (excluding Røkkr area-of-effect Specials). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain.)",400
Moonlight Stone,16,1,"Accelerates Special trigger (cooldown count-1). At the start of turn 1, if foe's attack can trigger unit's Special, grants Special cooldown count-2. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit during combat, grants Special cooldown charge +1 to unit per unit's attack and inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), and reduces damage dealt to unit by 8 when foe's attack triggers unit's Special. (Excludes Miracle.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Savage Breath,16,1,"Grants Atk+3. Grants Atk/Spd/Def/Res+X. (Calculates X based on number of allies within 2 spaces of unit: 0 allies grants +6; 1 ally grants +4;  2 allies grants +2; ≥3 allies grants +0.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Duskstone,16,1,"Accelerates Special trigger (cooldown count-1).If foe's Range = 2, calculates damage using the lower of foe's Def or Res.At start of turn, and at start of enemy phase (except for in Summoner Duels), if unit's HP ≥ 25%, grants【Draconic Hex】to unit and allies within 2 spaces of unit, and if unit's Special cooldown count is at its maximum value, grants Special cooldown count-1 to unit.At start of combat, if unit's HP ≥ 25%, inflicts penalty on foe's Atk/Spd/Def/Res = number of foes within 3 rows or 3 columns centered on unit × 3, + 5 (max 14; if unit triggers Savior, value is treated as 14), unit deals +X damage (excluding area-of-effect Specials), and reduces damage from foe's attacks by X during combat (excluding area-of-effect Specials; X = number of allies within 3 spaces of unit × 5; max 15; if unit triggers Savior, value is treated as 15), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, triggers the following effects during combat: inflicts Special cooldown count+1 on foe before foe's first attack and if foe's first attack triggers the ""attacks twice"" effect, inflicts Special cooldown count+1 on foe before foe's second strike as well (in either case, cannot exceed the foe's maximum Special cooldown).If unit's HP ≥ 25% at start of combat and unit's Special cooldown count is at its maximum value after combat, grants Special cooldown count-1 to unit after combat.【Draconic Hex】Inflicts Atk/Spd/Def/Res-5 on foe during combat and inflicts penalty on each of those stats = 5 - current penalty on each of those stats during combat for 1 turn (min 0; calculates each stat penalty independently).",400
Firesweep Lance,11,1,Unit and foe cannot counterattack.,200
Firesweep L+,15,1,Unit and foe cannot counterattack.,300
Lance of Heroics,16,1,"If an ally's HP ≤ 80%, unit can move to a space adjacent to that ally. At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res during combat = 4 + X (X = number of spaces from start position to end position of whoever initiated combat × 2; max 8).",400
Aptitude Arrows,14,2,"Effective against flying foes. Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X (X = 25% of unit's level; max 10), deals damage = 20% of unit's Spd (including when dealing damage with a Special triggered before combat), and neutralizes unit's penalties during combat.",400
Fujin Uchiwa,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X to unit (X = 5 + the greater of unit's current bonus or foe's current bonus on each stat; calculates each stat bonus independently), inflicts penalty on foe's Atk/Spd/Def/Res = current bonus on each of foe's stats (calculates each stat penalty independently), reduces damage from foe's first attack by 40%, and grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack) during combat.",400
Jötnar Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is within 2 spaces of an ally, inflicts Atk/Spd/Def-5 on foe during combat and inflicts penalty on foe's Atk/Spd/Def during combat = current bonus on each of unit's Atk/Spd/Def. Calculates each stat penalty independently.Effect:【Pathfinder】【Pathfinder】When an ally moves through unit's space, that space is counted as 0 spaces moved instead of 1 space. (Unit's space can be freely added to ally's normal movement. Applies only to allies with movement types that allow movement through unit's space.)",400
Skinfaxi,16,1,"Grants Spd+3 and【Pathfinder】. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 and bonus to Atk/Spd/Def/Res during combat = current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+19, for a net bonus of Atk+12.) Calculates each stat bonus independently.【Pathfinder】When an ally moves through unit's space, that space is counted as 0 spaces moved instead of 1 space. (Unit's space can be freely added to ally's normal movement. Applies only to allies with movement types that allow movement through unit's space.)",400
Veðrfölnir's Edge,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if there is an ally within 3 rows or 3 columns centered on unit, grants Atk/Spd+6 and【Null Follow-Up】to unit and allies within 3 rows or 3 columns centered on unit for 1 turn.If unit initiates combat or if there is an ally within 3 rows or 3 columns centered on unit, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of allies within 3 rows or 3 columns centered on unit × 3 (max 14), neutralizes unit's penalties, neutralizes effects that inflict ""Special cooldown charge -X"" on unit, unit deals +X damage, and reduces damage from foe's first attack by 50% of X during combat (X = highest total bonuses among unit and allies within 3 rows or 3 columns centered on unit; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, when foe's attack triggers foe's Special, reduces Special damage by 50% of X (excluding area-of-effect Specials).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.",400
Deck Swabber,10,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",200
Deck Swabber+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",300
Scythe of Sariel,16,1,"Accelerates Special trigger (cooldown count-1). If a bonus granted by a skill like Rally or Hone and/or 1 extra space of movement granted by a skill like Armor March or Armored Boots is active on foe, grants Atk/Spd/Def/Res+4 to unit during combat and foe cannot make a follow-up attack.",400
Arcane Crest,14,1,"Accelerates Special trigger (cooldown count-1).If foe initiates combat or if unit's HP ≥ 25% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), neutralizes penalties on unit, deals damage = 15% of unit's Atk (including area-of-effect Specials), reduces damage from foe's attacks by 15% of unit's Atk (including area-of-effect Specials; excluding Røkkr area-of-effect Specials), and grants Special cooldown count-1 to unit before unit's first attack during combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",300
Steadfast Axe,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",200
